來源文字 ID,譯文 — 英文,譯文 — 閩南語（台灣）,譯文 — 中文（繁體）
plugins.publish.label-visit-site,You can visit your site here:,You can visit your site here:,可在此參觀您的網站：
plugins.publish.msg-something-went-wrong,Something went wrong. Please check the developer console for details.,Something went wrong. Please check the developer console for details.,發生錯誤了，請開啟開發者主控台以查看問題細節。
plugins.publish.msg-network-error,A network error occurred.,A network error occurred.,發生了網路錯誤。
plugins.publish.label-manage-passwords,Manage passwords,Manage passwords,管理密碼
plugins.publish.label-add-password,Add password,Add password,加入密碼
plugins.publish.action-new-password,New password,New password,新密碼
plugins.publish.label-no-password,Your site currently does not have any passwords. Anyone can visit it.,Your site currently does not have any passwords. Anyone can visit it.,您的網站目錄沒有設定密碼，任何人皆可瀏覽。
plugins.publish.label-have-password,"Your site is password protected. If you have multiple passwords, visitors can access your site by entering any of them.","Your site is password protected. If you have multiple passwords, visitors can access your site by entering any of them.",您的網站已有密碼保護，若有多個密碼，任何一個密碼皆可瀏覽網站。
plugins.publish.option-password-name,Password,Password,密碼
plugins.publish.option-password-desc,"A hash of your password will be stored securely. Once the password is set, it cannot be revealed in plaintext.","A hash of your password will be stored securely. Once the password is set, it cannot be revealed in plaintext.",密碼的雜湊值被安全地儲存，只要密碼設定後，便無法以明文文字形式呈現。
plugins.publish.option-password-placeholder,Your password,Your password,您的密碼
plugins.publish.option-nickname-name,Nickname (optional),Nickname (optional),暱稱（選填）
plugins.publish.option-nickname-desc,Set a nickname to remind yourself what or who the password is for.,Set a nickname to remind yourself what or who the password is for.,設定暱稱，讓您回憶起自己的密碼。
plugins.publish.action-add-password,Add this password,Add this password,加入此密碼
plugins.publish.label-untitled-password,Untitled password,Untitled password,未命名密碼
plugins.publish.label-password-created-time,Created {{time}},Created {{time}},建立時間：{{time}}
plugins.publish.msg-added-new-password,Added new password.,Added new password.,已加入新密碼。
plugins.publish.option-custom-domain,Custom domain,Custom domain,自訂網域
plugins.publish.option-custom-domain-desc,Use your own domain rather than the https://publish.obsidian.md/{site id} URL.,Use your own domain rather than the https://publish.obsidian.md/{site id} URL.,不使用 https://publish.obsidian.md/{站台 ID} 網址而使用自己的域名。
plugins.publish.option-noindex,Disallow search engine indexing,Disallow search engine indexing,禁止搜尋引擎索引
plugins.publish.option-noindex-desc,Prevent search engines from indexing your site.,Prevent search engines from indexing your site.,防止搜尋引擎對您的網站製作索引。
plugins.publish.button-configure,Configure,Configure,設定
plugins.publish.label-configure-custom-domain,Configure custom domain,Configure custom domain,設定自訂網域
plugins.publish.option-custom-url-name,Custom URL,Custom URL,自訂網址
plugins.publish.option-custom-url-desc,The URL that your site will be located at.,The URL that your site will be located at.,您網站所在的網址。
plugins.publish.option-custom-url-placeholder,www.yourdomain.com,www.yourdomain.com,www.yourdomain.com
plugins.publish.option-custom-url-redirect,Redirect to your custom domain,Redirect to your custom domain,重新導向至您的自訂網域
plugins.publish.option-custom-url-redirect-desc,Redirect visitors on publish.obsidian.md/id to your custom domain.,Redirect visitors on publish.obsidian.md/id to your custom domain.,將前往 publish.obsidian.md/id 的使用者重新導向至您的自訂網域
plugins.publish.button-update-custom-domain,Update domain setting,Update domain setting,更新網域設定
plugins.publish.label-custom-domain-instructions,Please refer to our {{link}} on our help site for more information.,Please refer to our {{link}} on our help site for more information.,請參考我們說明網站 {{link}} 以深入了解。
plugins.publish.label-custom-domain-link-name,custom domain setup guide,custom domain setup guide,自訂網域設定指引
plugins.publish.label-site-usage,You're using {{site}} out of your {{limit}}.,You're using {{site}} out of your {{limit}}.,網站 {{site}} 已超過限制 {{limit}}。
plugins.publish.button-add-more-sites,Buy more sites,Buy more sites,購買更多網站
plugins.publish.label-no-sites-bought,You haven't bought any sites.,You haven't bought any sites.,您尚未購買任何網站。
plugins.publish.button-get-site,Get a site,Get a site,取得網站
plugins.publish.label-manage-sharing,"Manage sharing for ""{{name}}""","Manage sharing for ""{{name}}""",管理「{{name}}」共享
plugins.publish.label-sharing-with-users,This site is currently shared with the following people.,This site is currently shared with the following people.,此網站目前與以下使用者共享。
plugins.publish.label-not-sharing,This site is not currently shared with anyone.,This site is not currently shared with anyone.,此網站目前未與任何人共享。
plugins.publish.label-invite-pending,Pending,Pending,待確認
plugins.publish.tooltip-remove-user,Remove user,Remove user,移除使用者
plugins.publish.option-invite-user,Invite user,Invite user,邀請使用者
plugins.publish.placeholder-invite-user,Enter their email...,Enter their email...,輸入他們的電子郵件地址……
plugins.publish.error-email-must-be-valid,Please enter a valid email to invite someone.,Please enter a valid email to invite someone.,請輸入有效的電子郵件地址來邀請其他人。
plugins.publish.msg-enable-publish-plugin,Please enable the Publish core plugin in Settings -> Core plugins to view sites.,Please enable the Publish core plugin in Settings -> Core plugins to view sites.,請在設定 -> 核心外掛程式中啟用 Publish 外掛程式來檢視網站。
plugins.publish.label-your-sites,Your sites,Your sites,您的網站
plugins.publish.label-sites-shared-with-you,Sites shared with you,Sites shared with you,與您共享的網站
plugins.publish.tooltip-leave-site-sharing,Stop collaborating on this site,Stop collaborating on this site,停止此網站的協作
plugins.publish.label-leave-site-confirmation,Confirm stop site collaboration,Confirm stop site collaboration,確認停止網站協作
plugins.publish.label-leave-site-confirmation-details,This will remove this site from the list of sites shared with you. This action cannot be reverted.,This will remove this site from the list of sites shared with you. This action cannot be reverted.,這將從與您共享的網站列表中移除此網站。此操作無法復原。
plugins.publish.label-leave-site-confirmation-details-2,Please contact the owner of the site if you wish to collaborate on this site again.,Please contact the owner of the site if you wish to collaborate on this site again.,如果您想再次在此網站協作，請聯絡網站擁有者。
plugins.publish.button-leave,Leave,Leave,離開
plugins.publish.label-compare-with-live,Compare with live version,Compare with live version,與線上版本比較
plugins.publish.button-use-live-version,Use live version,Use live version,使用線上版本
plugins.publish.label-confirm-override,Confirm overriding local version,Confirm overriding local version,確認覆寫本機版本
plugins.publish.label-confirm-override-1,Are you sure you want to override the local version?,Are you sure you want to override the local version?,您確定要覆寫本機版本嗎？
plugins.publish.label-confirm-override-2,The live version will be used and your local version will be discarded. Please make backups if necessary.,The live version will be used and your local version will be discarded. Please make backups if necessary.,您的本機版本將被捨棄，並使用線上版本。如有需要，請做好備份。
plugins.publish.button-proceed,Proceed,Proceed,繼續
plugins.publish.message-successfully-used-live-version,Successfully used live version to override your local version.,Successfully used live version to override your local version.,成功使用線上版本覆寫您的本機版本。
plugins.publish.label-open-file,Open file,Open file,開啟檔案
plugins.publish.tooltip-manage-publish-filters,Manage publish filters,Manage publish filters,管理發布篩選器
plugins.publish.option-included-folders,Included folders,Included folders,包含的資料夾
plugins.publish.option-included-folders-desc,Files under these folders will automatically be selected when you review changes to publish.,Files under these folders will automatically be selected when you review changes to publish.,當您審查要發布的變更時，這些資料夾中的檔案會被自動選取。
plugins.publish.option-currently-included-folders,These folders are currently included:,These folders are currently included:,目前包含這些資料夾：
plugins.publish.option-excluded-folders,Excluded folders,Excluded folders,排除的資料夾
plugins.publish.option-excluded-folders-desc,Files under these folders won't show up when you review changes to publish. This setting takes priority over included folders above.,Files under these folders won't show up when you review changes to publish. This setting takes priority over included folders above.,當您審查要發布的變更時，這些資料夾會被隱藏。此設定的優先權大於上述包含的資料夾。
plugins.publish.label-number-of-folders-included,Obsidian Publish is currently including {{folders}}.,Obsidian Publish is currently including {{folders}}.,Obsidian Publish 目前已包含 {{folders}}。
plugins.publish.label-number-of-folders-excluded,Obsidian Publish is currently excluding {{folders}}.,Obsidian Publish is currently excluding {{folders}}.,Obsidian Publish 目前已排除 {{folders}}。
plugins.publish.label-manage-included-folders,Manage included folders,Manage included folders,管理包含的資料夾
plugins.publish.label-manage-excluded-folders,Manage excluded folders,Manage excluded folders,管理排除的資料夾
plugins.publish.label-add-included-folder,Include a folder,Include a folder,包含資料夾
plugins.publish.label-add-included-folder-desc,You can include both existing folders and folders that have not been created yet.,You can include both existing folders and folders that have not been created yet.,您可以包含現有或是尚未建立的資料夾。
plugins.publish.tooltip-contact-support,Contact support,Contact support,連絡客戶支援
plugins.workspaces.name,Workspaces,Workspaces,工作區
plugins.workspaces.desc,Save and load workspace layout.,Save and load workspace layout.,儲存並載入工作區配置。
plugins.workspaces.action-load-layout,Load workspace layout,Load workspace layout,載入工作區配置
plugins.workspaces.action-manage-layouts,Manage workspace layouts,Manage workspace layouts,管理工作區配置
plugins.workspaces.action-save-and-load-layout,Save and load another layout,Save and load another layout,儲存並載入其他配置
plugins.workspaces.placeholder-save-current-layout-as,Save current workspace layout as...,Save current workspace layout as...,另存目前的工作區配置為…
plugins.workspaces.button-save,Save,Save,儲存
plugins.workspaces.button-load,Load,Load,載入
plugins.workspaces.tooltip-delete-layout,Delete layout,Delete layout,刪除配置
plugins.workspaces.msg-delete-layout-success,Successfully deleted layout.,Successfully deleted layout.,成功刪除配置。
plugins.workspaces.msg-enter-name,Please enter a name for the new layout.,Please enter a name for the new layout.,請輸入新配置的名稱。
plugins.workspaces.msg-save-layout-success,Successfully saved layout.,Successfully saved layout.,成功儲存配置。
plugins.workspaces.label-no-layout-found,No saved layout found.,No saved layout found.,找不到已儲存的配置。
plugins.workspaces.placeholder-type-to-search-layouts,Type layout name...,Type layout name...,輸入配置名稱……
plugins.sync.name,Sync,Sync,同步
plugins.sync.desc,Synchronize your files through Obsidian Sync.,Synchronize your files through Obsidian Sync.,透過 Obsidian Sync 以同步您的檔案。
plugins.sync.action-view-version-history,View version history,View version history,檢視版本歷史
plugins.sync.label-load-more,Load more,Load more,載入更多
plugins.sync.label-show-diff,Show diff,Show diff,顯示差異
plugins.sync.label-copy-to-clipboard,Copy to clipboard,Copy to clipboard,複製到系統剪貼簿
plugins.sync.label-restore-this-version,Restore this version,Restore this version,還原至此版本
plugins.sync.msg-already-latest-version,This version is already the latest version.,This version is already the latest version.,此版本已是最後的版本。
plugins.sync.msg-restored-version,Successfully restored version from {{time}},Successfully restored version from {{time}},成功還原的版本時間：{{time}}
plugins.sync.label-file-deleted,This file was deleted,This file was deleted,檔案已被刪除
plugins.sync.label-no-earlier-version,There were no earlier versions of this file.,There were no earlier versions of this file.,這個檔案已無更舊版本。
plugins.sync.label-empty-file,Empty,Empty,空
plugins.sync.label-setting-files,Setting files,Setting files,設定檔案
plugins.sync.label-deleted-files,Deleted files,Deleted files,已刪除檔案
plugins.sync.label-version-history,Version history,Version history,版本歷史
plugins.sync.label-click-to-see-history,Click on a deleted file to see its history.,Click on a deleted file to see its history.,點選已刪除檔案以檢視其歷史。
plugins.sync.label-create-remote-vault,Create remote vault,Create remote vault,建立遠端儲存庫
plugins.sync.msg-please-enter-password,Please enter a password.,Please enter a password.,請輸入密碼。
plugins.sync.msg-vault-name-cannot-be-empty,Vault name cannot be empty.,Vault name cannot be empty.,儲存庫名稱不可留空。
plugins.sync.msg-successfully-created-vault,"Successfully create remote vault ""{{name}}"".","Successfully create remote vault ""{{name}}"".",成功建立遠端儲存庫「{{name}}」。
plugins.sync.label-remote-vault-explanation,Remote vaults securely synchronize your vault between devices.,Remote vaults securely synchronize your vault between devices.,在不同裝置間安全同步您的遠端儲存庫。
plugins.sync.option-vault-name,Vault name,Vault name,儲存庫名稱
plugins.sync.option-vault-name-desc,Helps you remember what this vault is for.,Helps you remember what this vault is for.,協助記錄儲存庫的使用目的。
plugins.sync.option-vault-name-placeholder,My awesome vault,My awesome vault,超棒的儲存庫
plugins.sync.option-use-custom-encryption-password,Customize end-to-end encryption password,Customize end-to-end encryption password,自訂點對點的加密密碼
plugins.sync.option-use-custom-encryption-password-desc,"If you turn this off, we will securely manage an encryption key for you.","If you turn this off, we will securely manage an encryption key for you.",若您關閉此選項，我們會提供一個安全的加密金鑰給您。
plugins.sync.option-use-custom-encryption-password-desc-warning,This option cannot be changed later.,This option cannot be changed later.,之後無法再變更此選項。
plugins.sync.option-encryption-password,Encryption password,Encryption password,加密密碼
plugins.sync.option-encryption-password-desc,This password cannot be changed later.,This password cannot be changed later.,之後無法變更此密碼。
plugins.sync.option-encryption-password-desc-warning,"If you forget this password, any remote data will remain unusable forever.","If you forget this password, any remote data will remain unusable forever.",若您遺忘此密碼，任何遠端資料將永遠無法再使用。
plugins.sync.option-encryption-password-desc-2,This does not affect your local data.,This does not affect your local data.,此選項並不影響您的本機資料。
plugins.sync.option-encryption-password-placeholder,Your password,Your password,您的密碼
plugins.sync.label-enter-encryption-password,Enter encryption password,Enter encryption password,輸入加密密碼
plugins.sync.button-unlock-vault,Unlock vault,Unlock vault,儲存庫解鎖
plugins.sync.msg-verified-password,Successfully verified your password.,Successfully verified your password.,密碼驗證成功。
plugins.sync.label-remote-vaults,Your remote vaults,Your remote vaults,您的遠端儲存庫
plugins.sync.label-vault-created-time,Created {{time}},Created {{time}},建檔時間：{{time}}
plugins.sync.tooltip-delete-remote-vault,Delete,Delete,刪除
plugins.sync.tooltip-manage-sharing,Manage sharing,Manage sharing,管理共享
plugins.sync.label-confirm-delete-remote-vault,Confirm delete vault,Confirm delete vault,確認刪除儲存庫
plugins.sync.label-confirm-delete-remote-vault-question,Are you sure you want to delete this remote vault?,Are you sure you want to delete this remote vault?,是否確定要刪除這個遠端儲存庫？
plugins.sync.label-confirm-delete-remote-vault-result,"All data on our server, including version history, will be deleted. Your local files will stay intact.","All data on our server, including version history, will be deleted. Your local files will stay intact.",我們主機內的所有資料（包含版本歷史）皆會被刪除，但您的本機檔案不受影響。
plugins.sync.label-confirm-delete-remote-vault-warning,This action is permanent and irreversible.,This action is permanent and irreversible.,此動作是永久且不可逆的。
plugins.sync.msg-remote-vault-deleted,{{name}} has been deleted.,{{name}} has been deleted.,{{name}} 已被刪除。
plugins.sync.button-connect-to-remote-vault,Connect,Connect,連接
plugins.sync.button-disconnect-from-remote-vault,Disconnect,Disconnect,斷線
plugins.sync.label-not-remote-vaults,You don't have any remote vaults.,You don't have any remote vaults.,您沒有任何遠端儲存庫。
plugins.sync.button-create-new-remote-vault,Create new vault,Create new vault,建立新的儲存庫
plugins.sync.label-sync-log,Sync log,Sync log,同步紀錄
plugins.sync.options-only-show-errors,Errors only,Errors only,只有錯誤
plugins.sync.options-only-show-errors-desc,Only show errors and hide other log items.,Only show errors and hide other log items.,只顯示錯誤而隱藏其他紀錄項目。
plugins.sync.button-copy-sync-log,Copy sync log,Copy sync log,複製同步紀錄
plugins.sync.msg-successfully-copied-sync-log,Successfully copied sync log.,Successfully copied sync log.,同步紀錄已複製成功。
plugins.sync.button-retry,Retry,Retry,重試
plugins.sync.button-purchase-subscription,Purchase,Purchase,購買
plugins.sync.label-third-party-sync-warning,Conflicting file sync service detected,Conflicting file sync service detected,偵測到檔案同步服務衝突
plugins.sync.label-third-party-sync-warning-desc,"Warning: Your vault seems to be using {{service}} as a third party sync service. If you use Obsidian Sync with this vault, you may run into conflicts, file corruption, or data loss.","Warning: Your vault seems to be using {{service}} as a third party sync service. If you use Obsidian Sync with this vault, you may run into conflicts, file corruption, or data loss.",警告：您的儲存庫似乎正在使用 {{service}} 作為第三方同步服務。如果您在此儲存庫使用 Obsidian Sync，可能會發生衝突、檔案損毀，或是資料遺失。
plugins.sync.label-icloud-drive-warning,"If you are using iCloud Drive, your Documents and Desktop folders might be synced by iCloud. This could cause conflicts with Obsidian Sync.","If you are using iCloud Drive, your Documents and Desktop folders might be synced by iCloud. This could cause conflicts with Obsidian Sync.",如果您正在使用 iCloud 雲碟，您的文件和桌面資料夾可能會透過 iCloud 同步。這可能會與 Obsidian Sync 產生衝突。
plugins.sync.option-remote-vault,Remote vault,Remote vault,遠端儲存庫
plugins.sync.button-choose-remote-vault,Choose,Choose,挑選
plugins.sync.button-manage-remote-vault,Manage,Manage,管理
plugins.sync.option-remote-vault-desc-connected,"Currently connected to the ""{{name}}"" remote vault.","Currently connected to the ""{{name}}"" remote vault.",目前已連接至 “{{name}}” 遠端儲存庫。
plugins.sync.option-remote-vault-desc-not-connected,Currently not connected to any remote vault.,Currently not connected to any remote vault.,目前尚未連接至任何遠端儲存庫。
plugins.sync.option-sync-status,Sync status,Sync status,同步狀態
plugins.sync.option-sync-status-desc-paused,Obsidian Sync is currently paused.,Obsidian Sync is currently paused.,Obsidian Sync 目前已暫停。
plugins.sync.option-sync-status-desc-running,Obsidian Sync is currently running.,Obsidian Sync is currently running.,Obsidian Sync 目前正在執行。
plugins.sync.option-device-name,Device name,Device name,裝置名稱
plugins.sync.option-device-name-desc,This name will be displayed in the sync log. Leave empty to use the default name.,This name will be displayed in the sync log. Leave empty to use the default name.,此名稱將顯示在同步記錄，若空白則使用預設名稱。
plugins.sync.button-resume,Resume,Resume,重新執行
plugins.sync.button-pause,Pause,Pause,暫停
plugins.sync.option-view-deleted-files,Deleted files,Deleted files,已刪除檔案
plugins.sync.option-view-deleted-files-desc,View and restore deleted files.,View and restore deleted files.,檢視並還原已刪除檔案。
plugins.sync.option-sync-log,Sync activity,Sync activity,同步活動
plugins.sync.option-sync-log-desc,View recent sync activities for debugging.,View recent sync activities for debugging.,檢視最近的同步活動以除錯。
plugins.sync.button-view,View,View,檢視
plugins.sync.button-bulk-restore,Bulk restore,Bulk restore,大量還原
plugins.sync.button-restore-selected-files,Restore selected files,Restore selected files,還原選取檔案
plugins.sync.msg-restoring,Restoring...,Restoring...,正在還原……
plugins.sync.msg-restoring-complete,`Restore complete: {{succeeded}} succeeded and {{failed}} failed.`,`Restore complete: {{succeeded}} succeeded and {{failed}} failed.`,`還原程序完成：{{succeeded}} 筆成功，{{failed}} 筆失敗。`
plugins.sync.option-over-size,Vault size over limit,Vault size over limit,儲存庫大小超過限制
plugins.sync.option-over-size-desc,Your vault is at {{size}} out of {{limit}}.,Your vault is at {{size}} out of {{limit}}.,您的儲存庫為 {{size}}，而限制為 {{limit}}。
plugins.sync.msg-largest-files,View largest files,View largest files,檢視最大檔案
plugins.sync.msg-largest-files-desc,"These are the remote files that are taking the most space. After deleting attachments, use the purge button to free up remote vault space.","These are the remote files that are taking the most space. After deleting attachments, use the purge button to free up remote vault space.",這些是佔用最多容量的遠端檔案，刪除附件後，使用清除按鈕以釋出遠端儲存庫的空間。
plugins.sync.button-purge-remote,Purge,Purge,清除
plugins.sync.tooltip-purge-remote,Permanently purge deleted attachments from remote vault to save space.,Permanently purge deleted attachments from remote vault to save space.,從遠端儲存庫永久清除已刪除附件以節省空間。
plugins.sync.msg-purge-complete,Purge complete.,Purge complete.,清除完成。
plugins.sync.option-prevent-sleep,Prevent device sleep,Prevent device sleep,阻止裝置進入睡眠模式
plugins.sync.option-prevent-sleep-desc,Prevents the device from going to sleep when there are still files to be synced.,Prevents the device from going to sleep when there are still files to be synced.,同步時，阻止裝置進入睡眠模式。
plugins.sync.option-selective-sync,Selective sync,Selective sync,選擇性同步
plugins.sync.option-excluded-folders,Excluded folders,Excluded folders,已排除資料夾
plugins.sync.option-excluded-folder-desc,Prevent certain folders from being synced.,Prevent certain folders from being synced.,阻止同步特定資料夾。
plugins.sync.option-currently-excluded-folders,These folders currently excluded:,These folders currently excluded:,目前被排除同步的資料夾:
plugins.sync.button-manage-excluded-folders,Manage,Manage,管理
plugins.sync.option-sync-image,Sync images,Sync images,同步影像檔案
plugins.sync.option-sync-image-desc,Sync image files with these extensions: {{extensions}}.,Sync image files with these extensions: {{extensions}}.,同步這些副檔名的影像檔案：{{extensions}}。
plugins.sync.option-sync-audio,Sync audio,Sync audio,同步音訊檔案
plugins.sync.option-sync-audio-desc,Sync audio files with these extensions: {{extensions}}.,Sync audio files with these extensions: {{extensions}}.,同步這些副檔名的音訊檔案：{{extensions}}。
plugins.sync.option-sync-video,Sync videos,Sync videos,同步視訊檔案
plugins.sync.option-sync-video-desc,Sync video files with these extensions: {{extensions}}.,Sync video files with these extensions: {{extensions}}.,同步這些副檔名的視訊檔案：{{extensions}}。
plugins.sync.option-sync-pdf,Sync PDFs,Sync PDFs,同步 PDF 檔
plugins.sync.option-sync-pdf-desc,Sync PDF files.,Sync PDF files.,同步 PDF 檔案。
plugins.sync.option-sync-unsupported,Sync all other types,Sync all other types,同步其餘類型
plugins.sync.option-sync-unsupported-desc,Sync unsupported file types.,Sync unsupported file types.,同步未支援的檔案類型。
plugins.sync.option-vault-config-sync,Vault configuration sync,Vault configuration sync,同步儲存庫設定
plugins.sync.option-view-config-files,Settings version history,Settings version history,設定版本歷史
plugins.sync.option-view-config-files-desc,View and restore version history of setting files.,View and restore version history of setting files.,檢視與還原設定檔的版本歷史。
plugins.sync.option-sync-app,Main settings,Main settings,主要設定
plugins.sync.option-sync-app-desc,"Enable to sync editor settings, files & links settings, custom hotkeys, etc.","Enable to sync editor settings, files & links settings, custom hotkeys, etc.",啟用同步編輯器設定、檔案與連結設定、自訂快速鍵等。
plugins.sync.option-sync-appearance,Appearance settings,Appearance settings,外觀設定
plugins.sync.option-sync-appearance-desc,"Sync appearance settings like dark mode, active theme, and enabled snippets.","Sync appearance settings like dark mode, active theme, and enabled snippets.",同步外觀設定，例如暗黑模式、使用的主題與啟用的程式碼片段。
plugins.sync.option-sync-appearance-data,Themes and snippets,Themes and snippets,主題及程式碼片段
plugins.sync.option-sync-appearance-data-desc,Sync downloaded themes and snippets. Whether they are enabled depends on the previous setting.,Sync downloaded themes and snippets. Whether they are enabled depends on the previous setting.,同步下載的主題及程式碼片段。是否啟用取決於先前設定。
plugins.sync.option-sync-hotkey,Hotkeys,Hotkeys,快速鍵
plugins.sync.option-sync-hotkey-desc,Sync custom hotkeys.,Sync custom hotkeys.,同步自訂快速鍵。
plugins.sync.option-sync-core-plugin,Active core plugin list,Active core plugin list,啟用的核心外掛程式清單
plugins.sync.option-sync-core-plugin-desc,Sync which core plugins are enabled.,Sync which core plugins are enabled.,同步核心外掛程式的啟用狀態。
plugins.sync.option-sync-core-plugin-data,Core plugin settings,Core plugin settings,核心外掛程式設定
plugins.sync.option-sync-core-plugin-data-desc,Sync core plugin settings.,Sync core plugin settings.,同步核心外掛程式設定。
plugins.sync.option-sync-community-plugin,Active community plugin list,Active community plugin list,啟用的社群外掛程式清單
plugins.sync.option-sync-community-plugin-desc,Sync which community plugins are enabled.,Sync which community plugins are enabled.,同步社群外掛程式的啟用狀態。
plugins.sync.option-sync-community-plugin-data,Installed community plugins,Installed community plugins,已安裝社群外掛程式
plugins.sync.option-sync-community-plugin-data-desc,"Sync installed community plugins (.js, .css, and manifest.json files) and their settings.","Sync installed community plugins (.js, .css, and manifest.json files) and their settings.",同步已安裝社群外掛程式（.js、.css，和 manifest.json 檔案）與其設定。
plugins.sync.label-sync-introduction,Obsidian Sync is Obsidian's add-on sync service with end-to-end encryption and version history.,Obsidian Sync is Obsidian's add-on sync service with end-to-end encryption and version history.,Obsidian Sync 是 Obsidian 的附加同步服務，具備點對點加密與版本歷史等功能。
plugins.sync.label-account-required,"To start syncing, please log in or create a new Obsidian account.","To start syncing, please log in or create a new Obsidian account.",開始同步前，請登入或建立新的 Obsidian 帳號。
plugins.sync.button-sign-up,Sign up,Sign up,建立新帳號
plugins.sync.button-log-in,Log in,Log in,登入
plugins.sync.label-manage-excluded-folders,Manage excluded folders,Manage excluded folders,管理已排除資料夾
plugins.sync.label-number-of-folders-excluded,{{folders}} are currently excluded from being synced.,{{folders}} are currently excluded from being synced.,{{folders}} 目前不同步。
plugins.sync.label-add-excluded-folder,Exclude a folder,Exclude a folder,排除資料夾
plugins.sync.label-add-excluded-folder-desc,You can exclude both existing folders and folders that have not been created yet.,You can exclude both existing folders and folders that have not been created yet.,您可以排除現有資料夾或尚未建立的資料夾。
plugins.sync.tooltip-remove-excluded-folder,Remove from excluded list,Remove from excluded list,從排除列表中移除
plugins.sync.label-setup-connection,Setup connection,Setup connection,設定連線
plugins.sync.label-now-connected-to-vault,"You're now connected to ""{{name}}"".","You're now connected to ""{{name}}"".",您現在已連接到「{{name}}」。
plugins.sync.button-start-syncing,Start syncing,Start syncing,開始同步
plugins.sync.label-confirm-merge-vault,Confirm Merge Vault,Confirm Merge Vault,確認合併儲存庫
plugins.sync.msg-vault-has-notes,Your local vault already contains some notes.,Your local vault already contains some notes.,您的本機儲存庫已經有一些筆記。
plugins.sync.msg-vault-merge-warning,"If you connect to the remote vault ""{{name}}"", notes in your local vault will be merged with notes from your remote vault. In case of conflicts, the most recent version of the note will be preserved.","If you connect to the remote vault ""{{name}}"", notes in your local vault will be merged with notes from your remote vault. In case of conflicts, the most recent version of the note will be preserved.",如果您連接至遠端資料庫「{{name}}」，您本機儲存庫中的筆記將與遠端儲存庫中的筆記合併。若發生衝突，將留存該筆記的最新版本。
plugins.sync.tooltip-update-setting-on-all-devices,Please update this option and restart app on all the devices where you want it to take effect.,Please update this option and restart app on all the devices where you want it to take effect.,請更新此選項，並在您想要套用的裝置上重新啟動應用程式。
plugins.sync.label-sharing-with-users,This remote vault is currently shared with the following people.,This remote vault is currently shared with the following people.,此遠端儲存庫目前與以下使用者共享。
plugins.sync.label-not-sharing,This remote vault is not currently shared with anyone.,This remote vault is not currently shared with anyone.,此遠端儲存庫目前未與任何人共享。
plugins.sync.label-vaults-shared-with-you,Vaults shared with you,Vaults shared with you,與您共享的儲存庫
plugins.sync.tooltip-leave-vault-sharing,Stop collaborating on this vault,Stop collaborating on this vault,停止於此儲存庫協作
plugins.sync.label-leave-vault-confirmation,Confirm stop vault collaboration,Confirm stop vault collaboration,確認停止儲存庫協作
plugins.sync.label-leave-vault-confirmation-details,This will remove this vault from the list of vaults shared with you. This action cannot be reverted.,This will remove this vault from the list of vaults shared with you. This action cannot be reverted.,這將從與您共享的儲存庫列表中移除此儲存庫。此操作無法復原。
plugins.sync.label-leave-vault-confirmation-details-2,Please contact the owner of the vault if you wish to collaborate on this vault again.,Please contact the owner of the vault if you wish to collaborate on this vault again.,若您希望再次於此儲存庫協作，請聯絡儲存庫的擁有者。
plugins.sync.button-leave,Leave,Leave,Leave
plugins.sync.label-require-subscription-to-connect,You need an Obsidian Sync subscription to connect to this vault.,You need an Obsidian Sync subscription to connect to this vault.,您需要訂閱 Obsidian Sync 才能連接到此儲存庫。
plugins.sync.option-contact-support,Contact support,Contact support,聯絡客戶支援
plugins.sync.option-contact-support-desc,"If you run into any issues with Obsidian Sync, please contact us so we can help you out! You can reach us at support@obsidian.md.","If you run into any issues with Obsidian Sync, please contact us so we can help you out! You can reach us at support@obsidian.md.",如果您在使用 Obsidian Sync 時遇到任何問題，請聯絡我們，好讓我們幫您解決！您可以透過 support@obsidian.md 聯絡我們。
plugins.sync.button-email-support,Email support,Email support,電子郵件支援
plugins.sync.msg-remote-vault-limit-hit,"Obsidian Sync lets you create up to 5 remote vaults. In order to create a new remote vault, please remove an existing one.","Obsidian Sync lets you create up to 5 remote vaults. In order to create a new remote vault, please remove an existing one.",Obsidian Sync 可讓您建立最多五個遠端儲存庫。請先移除現有的遠端儲存庫再建立。
plugins.file-recovery.name,File recovery,File recovery,檔案還原
plugins.file-recovery.desc,Let you restore recent snapshots to recover from accidental data loss. Snapshots are only saved for Markdown files.,Let you restore recent snapshots to recover from accidental data loss. Snapshots are only saved for Markdown files.,讓您還原成最近的快照以挽救意外的資料遺失，只有 Markdown 檔案會儲存快照。
plugins.file-recovery.action-open,Open saved snapshots,Open saved snapshots,開啟儲存的快照
plugins.file-recovery.option-interval,Snapshot interval,Snapshot interval,快照間隔
plugins.file-recovery.option-interval-description,Minimal interval in minutes between two snapshots.,Minimal interval in minutes between two snapshots.,兩個快照間的最小間隔分鐘數。
plugins.file-recovery.option-keep,History length,History length,歷史長度
plugins.file-recovery.option-keep-description,Length in days snapshots is kept for.,Length in days snapshots is kept for.,快照儲存的日數長度。
plugins.file-recovery.option-open-history,Snapshots,Snapshots,快照
plugins.file-recovery.option-open-history-description,View and restore saved snapshots.,View and restore saved snapshots.,檢視與還原已儲存快照。
plugins.file-recovery.button-view-snapshots,View,View,檢視
